SKU,Launch Year,SKUs Recently Added,CategoryID,ProductID,RootModelNumber,Category,Product,Configuration,CurrentMinRetailerPrice,CurrentAvgRetailerPrice,CurrentMaxRetailerPrice,Online Price Quartile,Retailer Price Quartile,Online Price Range,Brand,Series,Standard Color,Capacity Range,Width (Approx.),Built-in Water Heater,Energy Rating,Motor Speeds,Stackable,Steam Cycle,Maximum RPM,CEE Tier,Wash Basket Material,Number Wash Cycles,Derivative Model,Model Status,Wifi Connected,Capacity (cu ft),ADA Compliant,Cold Optimized,Agitator or Impeller,Commercial (Yes/No),Detergent Dispenser,Fabric Softener Dispenser,Bleach Dispenser,POD Dispenser,Auto Dose Dispenser,Description,Key Feature,Key Feature1,Key Feature2,Key Feature3,Key Feature4,Key Feature5,Additional Features1,Additional Features2,Additional Features3,Additional Features4,Additional Features5,Additional Features6,Additional Features7,Additional Features8,Additional Features9,Additional Features10,Additional Features11,Additional Features12,Additional Features13,Additional Features14,Additional Features15,Color Description,Width,Height,Depth,Additional Dimensions1,Additional Dimensions2,Additional Dimensions3,Appearance1,Appearance2,Appearance3,Appearance4,Appearance5,Appearance6,Appearance7,Appearance8,Appearance9,Appearance10,Appearance11,Capacity1,Capacity2,Controls1,Controls2,Controls3,Controls4,Controls5,Controls6,Controls7,Controls8,Controls9,Controls10,Convenience Features1,Convenience Features2,Convenience Features3,Convenience Features4,Convenience Features5,Convenience Features6,Convenience Features7,Convenience Features8,Convenience Features9,Convenience Features10,Convenience Features11,Convenience Features12,Convenience Features13,Convenience Features14,Convenience Features15,Convenience Features16,Convenience Features17,Dimensions1,Dimensions2,Energy/Sound/Power1,Energy/Sound/Power2,Energy/Sound/Power3,Energy/Sound/Power4,Energy/Sound/Power5,Energy/Sound/Power6,Energy/Sound/Power7,Energy/Sound/Power8,Wash Cycles1,Wash Cycles2,Wash Cycles3,Wash Cycles4,Wash Cycles5,Wash Cycles6,Wash Cycles7,Wash Cycles8,Wash Cycles9,Wash Cycles10,Wash Cycles11,Wash Cycles12,Wash Cycles13,Wash Cycles14,Wash Cycles15,Wash Cycles16,Wash Cycles17,Wash Cycles18,Wash Cycles19,Wash Cycles20,Wash Cycles21,Wash Cycles22,Wash Cycles23,Wash Cycles24,Wash Cycles25,Wash Cycles26,Wash Cycles27,Wash Cycles28,Wash Cycles29,Wash Cycles30,Wash Cycles31,Wash Cycles32,Wash Cycles33,Wash Cycles34,Wash Cycles35,Wash Cycles36,Wash Cycles37,Wash Cycles38,Wash Cycles39,Wash Cycles40,Wash Cycles41,Washing System1,Washing System2,Washing System3,Washing System4,Washing System5,Washing System6,Washing System7,Washing System8,Washing System9,Washing System10,Washing System11,Washing System12,Washing System13,Washing System14,Washing System15,Washing System16
2644432k,2020,3/12/2020,1,12,2644432K,Laundry,Washers,Compact & Portable Washers,,,,,Retail Price Not Available,,Kenmore,,White,3.0 & Under cu ft,21,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,7 or Less,Yes,Active Model,No,1.6,No,No,Impeller,No,No,Yes,No,No,No,1.6 cu ft Top Load Washer,,"6 Wash Cycles, 5 Water Temperatures",,Low-Profile Impeller,Fabric Softener Dispenser,,,Power Cord Included,,,,,,,,,,,,,,White,21 inches,37 inches,23 inches,"21"" Minimum Space",,,,Plastic Top & Lid,Stainless Steel Wash Basket,Top Load Design,White Color Finish,,,,,,,1.6 Cu Ft,,Electronic Controls,,,,,,,,,,Lid Lock,,,,,,,,,,,,,,,,,"37"" H x 23"" D x 21"" W",,100 Kilowatt Hours per Year,120/240V,,,,,,,6 Wash Cycles,,Heavy Duty Wash Cycle,Normal Wash Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850 RPM Maximum Spin Speed,Low Profile Impeller,Tumble Action Wash Agitator,,,,,,,,,,,,
clv16n2amg,2024,7/23/2024,1,12,,Laundry,Washers,Compact & Portable Washers,316,317,317,,Low - 25% & Below,,Comfee,,Gray,3.0 & Under cu ft,21,No,Unassigned,Unassigned,No,No,800 to 899,Unassigned,Stainless Steel,7 or Less,,Active Model,No,4,Unassigned,No,Impeller,No,Yes,No,No,No,No,1.6 cu.ft. Compact Portable Top Load Washer in Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctw14x0w-is,2020,8/13/2020,1,12,CTW14X0W-IS,Laundry,Washers,Compact & Portable Washers,255,323,384,,Low - 25% & Below,,Avanti,,White,3.0 & Under cu ft,Unassigned,No,Unassigned,Unassigned,No,No,Unassigned,Unassigned,Unassigned,Unassigned,No,Active Model,No,1.4,No,No,,No,No,No,No,No,No,1.3 cu ft Portable Washer,,8 Automatic Cycles,3 Load Size Selections,,Stainless Steel Wash Tub,,Drain Hose (Pre-Installed),Hot and Cold Water Inlets,,,,,,,,,,,,,,White,20 inches,33 1/4 inches,19 3/4 inches,,,,,Top Load Portable/Freestanding Design,White Finish,,,,,,,,,1.38 Cu. Ft. Capacity,,,Power ON/OFF Button,Start/Pause Button,,,,,,,,,Delay Start - 2-24 Hours,Washer Sink Attachment,,,,,,,,,,,,,,,"33 1/4"" H x 19 3/4"" D x 20"" W",,"120V, 60 Hz",,,,,,,,,Cotton Cycle,Gentle Cycle,Heavy Cycle,Normal Cycle,Speed Wash Cycle,Spin Cycle,Tub Clean Cycle,Whites Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Load Size Selections - Small, Medium, Large","3 Water Temperature Options - Cold, Hot, Warm",,,,,,,,,,,,,,
ctw84x0w-is,2023,10/23/2023,1,12,,Laundry,Washers,Compact & Portable Washers,226,266,305,,Low - 25% & Below,,Avanti,,White,3.0 & Under cu ft,18,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,No,0.9,Unassigned,No,,No,No,No,No,No,No,"0.84 cu. ft. Compact Top Load Washer, in White",,8 Automatic Cycles,3 Load Size Selections,,Stainless Steel Wash Tub,Auto-Power Off,Cold Water Inlets,,,,,,,,,,,,,,,White,,,,,,,Top Load Design,,,,,,,,,,,.84 cu ft Capacity,,Auto-Power Off,,,,,,,,,,Control Lock Out,,,,,,,,,,,,,,,,,"31 1/4"" H x 20"" D x 17 1/2"" W",,"110V, 60 Hz",,,,,,,,Normal Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Load Size Selections (Small, Medium, Large)",,,,,,,,,,,,,,,
elfw4222aw,2020,12/31/2020,1,12,,Laundry,Washers,Compact & Portable Washers,943,967,1044,,High/Mid - 50% to 75%,,Electrolux,,White,3.0 & Under cu ft,24,Yes,Energy Star®,Unassigned,Yes,Yes,1300 and Over,Unassigned,Stainless Steel,14 or More,No,Active Model,No,2.4,No,No,,No,Yes,Yes,No,No,No,2.4 cu ft Compact Washer,,,LuxCare® Wash System,Energy Star® Qualified,Steam Refresh Cycle,,"Installs - Freestanding, Under Counter, Stacked",Second Floor Guarantee,,,,,,,,,,,,,,White,23 5/8 inches,33 1/2 inches,25 inches,"24"" Minimum Width",,,Compact Model Design,,Pull Latch Door,Stainless Steel Wash Drum,White Finish,,,,,,,2.4 Cu. Ft. Capacity,,,Cycle Selector Control Knob,Front Control Location,,,,,,,,,Delay Start,Detergent Dispenser,Dispenser Drawer,End-of-Cycle Chime,Fabric Softener Dispenser,Leveling Legs,Prewash Detergent Dispenser,,,,,,,,,,"33 1/2"" H x 25"" D x 23 5/8"" W",,,90 kWh/Year,Energy Star® Certified,,,,,,,Activewear Cycle,Clean Washer Cycle,Colors Cycle,Delicates Cycle,Fast Wash Cycle,Freshwater Rinse Option,Hand Wash Cycle,Heavy Duty Cycle,Jeans Cycle,My Favorites Cycle,Normal Cycle,Prewash Option,Rinse & Spin Cycle,Sanitize Cycle,Steam Option,Steam Refresh Cycle,Whitest Whites Cycle,,,,,,,,,,,,,,,,,,,,,,,,"1,400 RPM Spin Speed",,LuxCare™ Wash System,,,Soil Level Selections,,,,,,,,,,
ew 826 w,2024,7/23/2024,1,12,,Laundry,Washers,Compact & Portable Washers,1039,1039,1039,,High/Mid - 50% to 75%,,Equator,,White,3.0 & Under cu ft,24,Yes,Unassigned,Unassigned,No,No,1300 and Over,Unassigned,Stainless Steel,14 or More,,Active Model,No,5.5,Unassigned,No,,No,Yes,Yes,Yes,No,No,1.62-cu ft Front-Load Washer (White),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfw148ssmww,2018,10/29/2018,1,12,GFW148SSM,Laundry,Washers,Compact & Portable Washers,898,950,990,,High/Mid - 50% to 75%,,GE,,White,3.0 & Under cu ft,24,Yes,Energy Star®,Unassigned,Yes,Yes,1300 and Over,Unassigned,Unassigned,14 or More,No,Active Model,No,2.4,No,No,,No,Yes,No,No,No,No,2.4 cu ft Front Load Washer,,,Steam Option,Energy Star®,ELECTRONIC TOUCH CONTROLS,,,Fill and Drain Hoses Included,Front Serviceable,Internal Water Heater,Optional - Stacking Kit (GFA24KITL),Optional - WiFi Connect (PBX10W00Y0),Vibration Control,,,,,,,,,White on White,23 7/16 inches,33 1/4 inches,25 5/8 inches,"24"" Minimum Opening",,,,Front Load Design,See-Thru Glass Door,Stainless Steel Wash Basket,White Color Finish,,,,,,,2.4 Cu. Ft. Capacity,,,Electronic Touch Controls w/ LED Count Down,LED Cycle Countdown,LED Cycle Status Lights,,,,,,,,Child Lock,Control Sounds On/Off,Detergent Dispenser (Liquid / Powder),End-Of-Cycle Signal,Pretreat Dispenser,Timed Flow-Thru™ Detergent Dispenser,,,,,,,,,,,"33 1/4"" H x 25 5/8"" D x 23 7/16"" W",,,15 or 20 Amp,3-Prong Grounding Receptacle,58 dBA Sound Rating,Deluxe Quiet Design,,Plugs into 120V Wall Outlet,Plugs into GE Condenser Dryer,,5 Wash/Rinse Temperatures,5 Wash/Spin Speed Combinations,Active Wear Cycle,Casual with Steam Cycle,Casuals Cycle,Cold Wash Cycle,Custom Cycle - My Cycle,Delay Wash - Up to 24 Hours,Delicates Cycle,Extra Rinse Option,Heavy Duty Cycle,Normal Cycle,Prewash Cycle,Quick Wash,Quick Wash Cycle,Rinse + Spin Cycle,Sanitize Cycle,Stain Wash with Steam Cycle,Steam Option,Towels Cycle,Tub Clean Cycle,Whites Cycle,,,,,,,,,,,,,,,,,,,,5 Soil Level Options,Auto-Temp,Load Sensing Adaptive Fill,Variable Motor Speeds,,,,,,,,,,,
gnw128psmww,2018,2/5/2018,1,12,GNW128PSM,Laundry,Washers,Compact & Portable Washers,894,915,999,High/Mid - 50% to 75%,High/Mid - 50% to 75%,758,GE,,White,3.0 & Under cu ft,24,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Unassigned,8 to 10,No,Active Model,No,2.8,No,No,,No,Yes,Yes,No,No,No,2.8 cu ft Portable Washer,,8 Wash Cycles w/ 5 Options,7 Water Levels w/ 4 Temperatures,,Stainless Steel Wash Basket,,Easy-Roll Rollers,,Stoppers,Tub Lint Filters,Unicoupler Included,,,,,,,,,,,White on White,24 inches,37 2/5 inches,24 1/2 inches,,,,Black Plastic Lid,,Stainless Steel Wash Basket,Top Load Design,White Color Finish,,,,,,,2.8 Cu. Ft. D.O.E Capacity,,Electronic One Touch Controls with LED Readout,,,,,,,,,,,Bleach Dispenser,Child Lock,Delay Wash (Up to 24 Hours),Detergent Dispenser (Liquid / Powder),Flow-Thru™ Dispensing System,Timed Flow-Thru™ Detergent Dispenser,Timed Flow-Thru™ Fabric Softener Dispenser,,,,,,,,,,"37 2/5"" H x 24 1/2"" D x 24"" W",,,15 or 20 Amp,3-Prong Grounding Receptacle,,,,,,5 Wash Options/Settings,,Casuals Cycle,Deep Fill Option,Deep Rinse Option,Delicates Cycle,Extra Rinse Option,Extra Spin Option,Heavy Duty Cycle,Jeans Cycle,Normal Cycle,PreSoak Option,Rinse + Spin Cycle,Soak Cycle,Speed Wash Cycle,Spin Only Cycle,Towels Cycle,"Wash, Rinse and/or Spin Cycle",Whites Cycle,,,,,,,,,,,,,,,,,,,,,,,4 Wash / Rinse Temperatures,7 Water Levels,,Infusor Wash Mechanism,,,,,,,,,,,,
gnw128ssmww,2018,2/5/2018,1,12,GNW128SSM,Laundry,Washers,Compact & Portable Washers,894,898,900,High/Mid - 50% to 75%,High/Mid - 50% to 75%,758,GE,,White,3.0 & Under cu ft,24,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Unassigned,8 to 10,No,Active Model,No,2.8,No,No,,No,Yes,Yes,No,No,No,2.8 cu ft Stationary Washer,,8 Wash Cycles w/ 5 Options,7 Water Levels w/ 4 Temperatures,,Stainless Steel Wash Basket,,Inlet Fill Hoses Included,,Tub Lint Filters,,,,,,,,,,,,,White on White,24 inches,37 2/5 inches,24 1/2 inches,,,,Black Plastic Lid,,Stationary Washer,Top Load Design,White Color Finish,,,,,,,2.8 Cu. Ft. D.O.E Capacity,,Electronic One Touch Controls with LED Readout,,,,,,,,,,,Bleach Dispenser,Child Lock,Delay Wash (Up to 24 Hours),Detergent Dispenser (Liquid / Powder),Flow-Thru™ Dispensing System,Timed Flow-Thru™ Detergent Dispenser,Timed Flow-Thru™ Fabric Softener Dispenser,,,,,,,,,,"37 2/5"" H x 24 1/2"" D x 24"" W",,,15 or 20 Amp,3-Prong Grounding Receptacle,,,,,,5 Wash Options/Settings,,Casuals Cycle,Deep Fill Option,Deep Rinse Option,Delicates Cycle,Extra Rinse Option,Extra Spin Option,Heavy Duty Cycle,Jeans Cycle,Normal Cycle,PreSoak Option,Rinse + Spin Cycle,Soak Cycle,Speed Wash Cycle,Spin Only Cycle,Towels Cycle,Whites Cycle,,,,,,,,,,,,,,,,,,,,,,,,4 Wash / Rinse Temperatures,7 Water Levels,,Infusor Wash Mechanism,,,,,,,,,,,,
mclw14wi,2023,10/23/2023,1,12,,Laundry,Washers,Compact & Portable Washers,322,353,384,,Low - 25% & Below,,Avanti,,White,3.0 & Under cu ft,21,No,Unassigned,Unassigned,No,No,700 to 799,Unassigned,Stainless Steel,8 to 10,,Active Model,No,1.4,Unassigned,No,,No,No,No,No,No,No,1.38 cu. ft. Top Load Washer in White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
